name,price,link,collection
Blush Dupatta,3850.0,https://niamiaofficial.com/products/blush-dupatta,https://niamiaofficial.com/collections/embroidered-pret
Lemon Cake dupatta,4000.0,https://niamiaofficial.com/products/lemon-cake-dupatta,https://niamiaofficial.com/collections/new-arrivals 
Starry dupatta,4500.0,https://niamiaofficial.com/products/starry-dupatta,https://niamiaofficial.com/collections/new-arrivals 
Granada,4800.0,https://niamiaofficial.com/products/grenada,https://niamiaofficial.com/collections/printed-sets
Éclair dupatta,5000.0,https://niamiaofficial.com/products/eclair-dupatta,https://niamiaofficial.com/collections/lawn-pret
Stella Dupatta,5000.0,https://niamiaofficial.com/products/stella-dupatta,https://niamiaofficial.com/collections/sale
Zizi dupatta,5000.0,https://niamiaofficial.com/products/zizi-dupatta,https://niamiaofficial.com/collections/sale
Sundae dupatta,5500.0,https://niamiaofficial.com/products/sundae-dupatta,https://niamiaofficial.com/collections/lawn-pret
Creme Brulée Dupatta,5500.0,https://niamiaofficial.com/products/creme-brulee-dupatta,https://niamiaofficial.com/collections/lawn-pret
Pavlova Dupatta,5500.0,https://niamiaofficial.com/products/pavlova-dupatta,https://niamiaofficial.com/collections/lawn-pret
Swissroll dupatta,5500.0,https://niamiaofficial.com/products/swissrole-dupatta,https://niamiaofficial.com/collections/lawn-pret
Biscotti dupatta,5500.0,https://niamiaofficial.com/products/biscotti-dupatta,https://niamiaofficial.com/collections/lawn-pret
Botanica dupatta,5500.0,https://niamiaofficial.com/products/botanica-dupatta,https://niamiaofficial.com/collections/sale
Marzipan dupatta,5500.0,https://niamiaofficial.com/products/marzipan-dupatta,https://niamiaofficial.com/collections/lawn-pret
Panna Cotta Dupatta,5500.0,https://niamiaofficial.com/products/pannacotta-dupatta,https://niamiaofficial.com/collections/lawn-pret
Trio Dupatta,6500.0,https://niamiaofficial.com/products/trio-dupatta-1,https://niamiaofficial.com/collections/festive
Verde apple,7800.0,https://niamiaofficial.com/products/verde-apple,https://niamiaofficial.com/collections/new-arrivals 
Mariposa,8800.0,https://niamiaofficial.com/products/mariposa-1,https://niamiaofficial.com/collections/new-arrivals 
Mariposa,9000.0,https://niamiaofficial.com/products/mariposa,https://niamiaofficial.com/collections/new-arrivals 
Macau 2.0,9000.0,https://niamiaofficial.com/products/macau-2-0,https://niamiaofficial.com/collections/new-arrivals 
Mon chéri,9900.0,https://niamiaofficial.com/products/mon-cheri,https://niamiaofficial.com/collections/new-arrivals 
Starry,10500.0,https://niamiaofficial.com/products/starry,https://niamiaofficial.com/collections/new-arrivals 
Daphne,10500.0,https://niamiaofficial.com/products/daphne,https://niamiaofficial.com/collections/new-arrivals 
Ava,10800.0,https://niamiaofficial.com/products/ava,https://niamiaofficial.com/collections/new-arrivals 
Edith,10800.0,https://niamiaofficial.com/products/edith,https://niamiaofficial.com/collections/new-arrivals 
Ayla,10800.0,https://niamiaofficial.com/products/ayla,https://niamiaofficial.com/collections/new-arrivals 
Evie,10800.0,https://niamiaofficial.com/products/evie,https://niamiaofficial.com/collections/new-arrivals 
Misty,10850.0,https://niamiaofficial.com/products/misty,https://niamiaofficial.com/collections/sale
Rosette,11000.0,https://niamiaofficial.com/products/rosette,https://niamiaofficial.com/collections/printed-sets
Arcade,11000.0,https://niamiaofficial.com/products/arcade,https://niamiaofficial.com/collections/printed-sets
Honey Bee,11000.0,https://niamiaofficial.com/products/honey-bee,https://niamiaofficial.com/collections/new-arrivals 
LemonBerry,11150.0,https://niamiaofficial.com/products/lemonberry,https://niamiaofficial.com/collections/sale
Jade,11150.0,https://niamiaofficial.com/products/jade-whisper,https://niamiaofficial.com/collections/sale
Coco Pink,11200.0,https://niamiaofficial.com/products/coco-pink,https://niamiaofficial.com/collections/new-arrivals 
Swirl,11340.0,https://niamiaofficial.com/products/swirl,https://niamiaofficial.com/collections/embroidered-pret
Purple Pots,11340.0,https://niamiaofficial.com/products/purple-pots,https://niamiaofficial.com/collections/embroidered-pret
Malena,11500.0,https://niamiaofficial.com/products/malena,https://niamiaofficial.com/collections/new-arrivals 
Creme Brulée,11500.0,https://niamiaofficial.com/products/creme-brulee,https://niamiaofficial.com/collections/lawn-pret
Cross Stitch,11500.0,https://niamiaofficial.com/products/cross-stitch,https://niamiaofficial.com/collections/printed-sets
Pink Peppermint,11500.0,https://niamiaofficial.com/products/pink-peppermint,https://niamiaofficial.com/collections/printed-sets
Ayla 2,11664.0,https://niamiaofficial.com/products/ayla-2,https://niamiaofficial.com/collections/embroidered-pret
Stella,11800.0,https://niamiaofficial.com/products/stella,https://niamiaofficial.com/collections/sale
Frosty,11800.0,https://niamiaofficial.com/products/frosty,https://niamiaofficial.com/collections/embroidered-pret
Shell Belle,11850.0,https://niamiaofficial.com/products/shell-belle,https://niamiaofficial.com/collections/printed-sets
Amalfi,12000.0,https://niamiaofficial.com/products/amalfi,https://niamiaofficial.com/collections/sale
Banoffee Pie,12000.0,https://niamiaofficial.com/products/banoffee-pie,https://niamiaofficial.com/collections/lawn-pret
Crochet Craft,12000.0,https://niamiaofficial.com/products/crochet-craft,https://niamiaofficial.com/collections/new-arrivals 
Coconut Sugar,12350.0,https://niamiaofficial.com/products/coconut-sugar,https://niamiaofficial.com/collections/printed-sets
Swissroll,12500.0,https://niamiaofficial.com/products/swissroll,https://niamiaofficial.com/collections/lawn-pret
Elle,12500.0,https://niamiaofficial.com/products/elle,https://niamiaofficial.com/collections/printed-sets
Apricot,12500.0,https://niamiaofficial.com/products/apricot,https://niamiaofficial.com/collections/embroidered-pret
Matcha,12500.0,https://niamiaofficial.com/products/matcha,https://niamiaofficial.com/collections/sale
Midnight,12500.0,https://niamiaofficial.com/products/midnight-2,https://niamiaofficial.com/collections/printed-sets
Cassata,12500.0,https://niamiaofficial.com/products/cassata,https://niamiaofficial.com/collections/lawn-pret
Custard,12800.0,https://niamiaofficial.com/products/custard,https://niamiaofficial.com/collections/sale
Ombré,12960.0,https://niamiaofficial.com/products/ombre-1,https://niamiaofficial.com/collections/embroidered-pret
Grape,13000.0,https://niamiaofficial.com/products/grape,https://niamiaofficial.com/collections/sale
Blue Pine,13000.0,https://niamiaofficial.com/products/blue-pine,https://niamiaofficial.com/collections/embroidered-pret
Botanica,13000.0,https://niamiaofficial.com/products/botanica,https://niamiaofficial.com/collections/sale
Pizzo,13500.0,https://niamiaofficial.com/products/pizzo,https://niamiaofficial.com/collections/new-arrivals 
Eloise A,13500.0,https://niamiaofficial.com/products/eloise-a,https://niamiaofficial.com/collections/new-arrivals 
Pavlova,13500.0,https://niamiaofficial.com/products/pavlova,https://niamiaofficial.com/collections/lawn-pret
Toffee,14000.0,https://niamiaofficial.com/products/toffee,https://niamiaofficial.com/collections/sale
Cinnamon,14000.0,https://niamiaofficial.com/products/cinnamon,https://niamiaofficial.com/collections/embroidered-pret
PALMERA,14000.0,https://niamiaofficial.com/products/palmera,https://niamiaofficial.com/collections/new-arrivals 
Eloise B,14000.0,https://niamiaofficial.com/products/eloise-b,https://niamiaofficial.com/collections/new-arrivals 
Zest,14000.0,https://niamiaofficial.com/products/zest,https://niamiaofficial.com/collections/embroidered-pret
Confetti,14000.0,https://niamiaofficial.com/products/confetti,https://niamiaofficial.com/collections/embroidered-pret
Luna,14000.0,https://niamiaofficial.com/products/luna-1,https://niamiaofficial.com/collections/printed-sets
Shelly,14000.0,https://niamiaofficial.com/products/shelly,https://niamiaofficial.com/collections/printed-sets
Cece,14000.0,https://niamiaofficial.com/products/cece,https://niamiaofficial.com/collections/sale
Zizi,14000.0,https://niamiaofficial.com/products/zizi,https://niamiaofficial.com/collections/sale
Meringue,14500.0,https://niamiaofficial.com/products/meringue,https://niamiaofficial.com/collections/lawn-pret
SeaSalt,14500.0,https://niamiaofficial.com/products/seasalt,https://niamiaofficial.com/collections/printed-sets
Cocoa Cream Shawl,15000.0,https://niamiaofficial.com/products/cocoa-cream-shawl,https://niamiaofficial.com/collections/new-arrivals 
Aurora,15000.0,https://niamiaofficial.com/products/aurora,https://niamiaofficial.com/collections/new-arrivals 
AURA,15000.0,https://niamiaofficial.com/products/aura,https://niamiaofficial.com/collections/new-arrivals 
Prism Blue,15000.0,https://niamiaofficial.com/products/prism-blue,https://niamiaofficial.com/collections/new-arrivals 
Artichoke,15000.0,https://niamiaofficial.com/products/artichoke,https://niamiaofficial.com/collections/new-arrivals 
Piña,15000.0,https://niamiaofficial.com/products/pina,https://niamiaofficial.com/collections/new-arrivals 
LemonCake,15000.0,https://niamiaofficial.com/products/lemoncake,https://niamiaofficial.com/collections/new-arrivals 
